title,url,preview,author,start_date,last_reply_date,reply_count,has_attachments
RD/CDCES vs RN/CDCES - Salary Question,https://groups.io/g/peds-endo/topic/rd_cdces_vs_rn_cdces_salary/110028702,"Dear Friends, At my institution we use both RN/CDCES and RD/CDCES in the same way. And while they do largely the same jobs our RNs are paid as RNs and our RDs are paid as RDs which generates quite a salary differential. My newest hired nurse will make more starting than my most senior RD… Not a great look. Do any of you have any solutions to offer? Can anyone provide examples (can email me off the list serve) of places where they salary the CDCES the same regardless or RN vs RD? Many thanks! Mike ===================================== Michael Haller, MD Office: J-591 Professor and Chief Patient Phone: 352.265.DIAB (3422) Silverstein Family Eminent Scholar Patient Care Fax: 352.294.8097 Pediatric Endocrinology Direct Phone: 352.273.9264 University of Florida Direct Fax: 352.294.8109 hallemj@... UF Pediatric Endocrinology Website Need Help Accessing Insulin? Join My Zoom Room Free TrialNet Antibody Screening","Haller,Michael James
	

								
							
							@","Dec 10, 2024 1:57pm","Dec 13, 2024 6:59pm",2.0,True
HGF LIVE Endocrine Webinar - This Friday - RSVP and Join Us!,https://groups.io/g/peds-endo/topic/hgf_live_endocrine_webinar/110084477,"The Human Growth Foundation (HGF) invites you to participate in our HGF Endocrine LIVE Webinar this Friday, December 13, 2024, at 12:30 pm Eastern. Esteemed pediatric endocrinologist Dr. Laurie Cohen will present “Growth Hormone Deficiency & Treatment in Childhood Cancer.” Growth hormone (GH) deficiency is one of the more common endocrine sequela in childhood cancer survivors. The location of a tumor itself and/or its surgical resection can be a cause, or it can result from several therapies, most notably cranial radiation. This HGF Endocrine Live Webinar will explore the risk factors for and the diagnosis of GH deficiency, as well as GH treatment considerations, in this population. ******* FREE REGISTRATION HGFound.org/eventsREGISTER NOW TO ATTEND - CLICK HERE REGISTER NOW TO ATTEND - CLICK HERE JOIN OUR ONLINE HGF COMMUNITY The Human Growth Foundation (HGF) is considered the world’s leading nonprofit organization focused on children and adults with rare growth and bone conditions. We provide research, education, patient support, and advocacy to help improve the quality of life for those affected by these disorders. Our vision is that individuals with rare growth or bone conditions have access to the best care possible. For more information about the Human Growth Foundation, please visit HGFound.org. Copyright (C) 2024 Human Growth Foundation. All rights reserved.",,"Dec 12, 2024 3:01pm",,,False
"***Last Chance to Register for THIS FRIDAY > CME Credits, Breakfast, Lunch, Parking = No Cost",https://groups.io/g/peds-endo/topic/last_chance_to_register/110083020,"Register online: HGFound.org/events RSVP and Join Us this Friday! The Human Growth Foundation (HGF) is thrilled to invite you to participate in our HGF Pediatric Endocrine Education Day, which will take place on December 13, 2024, from 8:30 am to 12:00 pm, in Los Angeles, California. This event is hosted by pediatric endocrinologist Dr. Anna Ryabets and her team of experts from Children’s Hospital of Los Angeles. Join us for a day of informative sessions, expert presentations from the Children's Hospital of Los Angeles, and networking opportunities. FRIDAY, DECEMBER 13, 2024 The Kimpton Everly Hotel Course Director: Dr. Anna Ryabets-Lienhard ******* Breakfast, Lunch, Valet Parking, and CME Credits will be Provided ******* THE PRESENTATIONS Growth Disorders in Childhood: Neither a Short Story nor a Tall Tale Mitchell E. Geffner, MD Too Fast, Too Soon: Diagnosis & Management of Precocious Puberty Arushi Verma, MD Neuroendocrinology for Pediatrician: Is There a Brain Tumor? Clement Cheung, MD, PhD Duchenne Muscular Dystrophy Beyond the Muscle: Bone and Endocrine Perspective Anna Ryabets-Lienhard, DO Current Trends and Challenges in Pediatric Obesity Ahlee Kim, MD ******* FREE REGISTRATION Registration is Mandatory to Attend HGFound.org/eventsREGISTER NOW TO ATTEND - CLICK HERE REGISTER NOW TO ATTEND - CLICK HERE ACCREDITATION STATEMENT: This activity has been planned and implemented in accordance with the accreditation requirements and policies of the Accreditation Council for Continuing Medical Education (ACCME) through the joint providership of the Human Growth Foundation, The Tennessee Medical Association and HealthProMatch. The Tennessee Medical Association is accredited by the ACCME to provide continuing medical education for physicians. TMA designates this live meeting for a maximum of 2.50 AMA PRA Category 1 CreditsTM. Physicians should claim only the credit commensurate with the extent of their participation in the activity. ADA Statement Special Needs: In accordance with the Americans with Disabilities Act, HGF seeks to make this conference accessible to all. If you have a disability which might require special accommodations, please contact or e-mail your needs to: hgf@.... JOIN OUR ONLINE HGF COMMUNITY The Human Growth Foundation (HGF) is considered the world’s leading nonprofit organization focused on children and adults with rare growth and bone conditions. We provide research, education, patient support, and advocacy to help improve the quality of life for those affected by these disorders. Our vision is that individuals with rare growth or bone conditions have access to the best care possible. For more information about the Human Growth Foundation, please visit HGFound.org. Copyright (C) 2024 Human Growth Foundation. All rights reserved.",,"Dec 12, 2024 1:50pm",,,False
"Adult ENDO in Upton, Massachusetts - Milford area",https://groups.io/g/peds-endo/topic/adult_endo_in_upton/110080562,"Good morning, I have a 21 yo with type 1 diabetes managed on Omnipod 5 + G6 (soon to be G7) who will be moving to Upton, MA in Feb 2025. He is willing to drive to the Boston area for his diabetes care. Let me know if there are any practices you recommend who are accepting emerging adults on diabetes technology. He was a classic presentation - misdiagnosed by his primary care 11 months before his new onset DKA when screening labs revealed A1c 6.5%. His primary care started Metformin despite being a fit and active adolescent. Thankfully he has been able to manage his T1D diagnosis with grace and consistency. Thanks, Nana -- Nana-Hawa Yayah Jones, MD Associate Professor | The Division of Endocrinology W 513.636.4744 |O 513.636.7329 |F 513.803.1174 |Nana.jones@... |Cell 314.402.1753 Cincinnati Children’s Hospital Medical Center 3333 Burnet Ave | MLC7012 | Cincinnati, OH 45229-3039 PLEASE NOTE EMAIL IS NOT MY DESIRED FORM OF COMMUNICATION. PLEASE CONTACT MY ADMIN OR CONTACT ME VIA MY MOBILE DEVICE",,"Dec 12, 2024 11:45am",,,False
"HCPs > Join us THIS FRIDAY > In Los Angeles > (CME Credits, Breakfast & Lunch = No Cost",https://groups.io/g/peds-endo/topic/hcps_join_us_this_friday/110075559,"Register online: HGFound.org/events Join us in… Los Angeles, California! The Human Growth Foundation (HGF) is thrilled to invite you to participate in our HGF Pediatric Endocrine Education Day, which will take place on December 13, 2024, from 8:30 am to 12:00 pm, in Los Angeles, California. Join us for a day of informative sessions, expert presentations from the Children's Hospital of Los Angeles, and networking opportunities. FRIDAY, DECEMBER 13, 2024 The Kimpton Everly Hotel Course Director: Dr. Anna Ryabets-Lienhard ******* Breakfast, Lunch & CME Credits will be Provided ******* THE PRESENTATIONS Growth Disorders in Childhood: Neither a Short Story nor a Tall Tale Mitchell E. Geffner, MD Too Fast, Too Soon: Diagnosis & Management of Precocious Puberty Arushi Verma, MD Neuroendocrinology for Pediatrician: Is There a Brain Tumor? Clement Cheung, MD, PhD Duchenne Muscular Dystrophy Beyond the Muscle: Bone and Endocrine Perspective Anna Ryabets-Lienhard, DO Current Trends and Challenges in Pediatric Obesity Ahlee Kim, MD ******* FREE REGISTRATION Registration is Mandatory to Attend HGFound.org/eventsREGISTER NOW TO ATTEND - CLICK HERE REGISTER NOW TO ATTEND - CLICK HERE ACCREDITATION STATEMENT: This activity has been planned and implemented in accordance with the accreditation requirements and policies of the Accreditation Council for Continuing Medical Education (ACCME) through the joint providership of the Human Growth Foundation, The Tennessee Medical Association and HealthProMatch. The Tennessee Medical Association is accredited by the ACCME to provide continuing medical education for physicians. TMA designates this live meeting for a maximum of 2.50 AMA PRA Category 1 CreditsTM. Physicians should claim only the credit commensurate with the extent of their participation in the activity. ADA Statement Special Needs: In accordance with the Americans with Disabilities Act, HGF seeks to make this conference accessible to all. If you have a disability which might require special accommodations, please contact or e-mail your needs to: hgf@.... JOIN OUR ONLINE HGF COMMUNITY The Human Growth Foundation (HGF) is considered the world’s leading nonprofit organization focused on children and adults with rare growth and bone conditions. We provide research, education, patient support, and advocacy to help improve the quality of life for those affected by these disorders. Our vision is that individuals with rare growth or bone conditions have access to the best care possible. For more information about the Human Growth Foundation, please visit HGFound.org. Copyright (C) 2024 Human Growth Foundation. All rights reserved.",,"Dec 12, 2024 2:59am",,,False
interesting case of elevated testosterone,https://groups.io/g/peds-endo/topic/interesting_case_of_elevated/109905908,,"Keefe, Christel M.
	

								
							
							@","Dec 3, 2024 3:40pm","Dec 11, 2024 5:05am",4.0,True
"HCPs > Join us this Saturday in Atlanta > CME Credits, Brunch, Parking...No Cost!",https://groups.io/g/peds-endo/topic/hcps_join_us_this_saturday/110024362,"Register online: HGFound.org/events Time is Running Out…Have You Registered? The Human Growth Foundation (HGF) is thrilled to invite you to join us on Saturday, December 14, 2024, from 1:30 pm to 5:30 pm, for the HGF Pediatric Endocrine Education Day at the Marriott Atlanta Northeast Hotel in Atlanta, Georgia. This highly anticipated event, hosted by pediatric endocrinologist Dr. Pranav Gupta, is designed to provide valuable insights and updates in pediatric endocrinology. Whether you’re a seasoned professional or just starting your medical career, this event promises to deliver cutting-edge information and foster meaningful discussions. We welcome everyone in the medical community, including pediatric endocrinologists, pediatricians, nurses, adult endocrinologists, residents, and fellows, to this impactful day of learning and networking. Register today. It’s completely free. Not only will you gain knowledge, but we’re also offering free CME credits, a delicious brunch, and complimentary parking to make your experience even more enjoyable. Don’t miss this unique opportunity to enhance your expertise and connect with fellow professionals in the field. We look forward to seeing you on December 14th!REGISTER NOW TO ATTEND - CLICK HERE REGISTER NOW TO ATTEND - CLICK HERE ACCREDITATION STATEMENT: This activity has been planned and implemented in accordance with the accreditation requirements and policies of the Accreditation Council for Continuing Medical Education (ACCME) through the joint providership of the Human Growth Foundation, The Tennessee Medical Association and HealthProMatch. The Tennessee Medical Association is accredited by the ACCME to provide continuing medical education for physicians. TMA designates this live meeting for a maximum of 2.00 AMA PRA Category 1 CreditsTM. Physicians should claim only the credit commensurate with the extent of their participation in the activity. ADA Statement Special Needs: In accordance with the Americans with Disabilities Act, HGF seeks to make this conference accessible to all. If you have a disability which might require special accommodations, please contact or e-mail your needs to: hgf@.... JOIN OUR ONLINE HGF COMMUNITY The Human Growth Foundation (HGF) is considered the world’s leading nonprofit organization focused on children and adults with rare growth and bone conditions. We provide research, education, patient support, and advocacy to help improve the quality of life for those affected by these disorders. Our vision is that individuals with rare growth or bone conditions have access to the best care possible. For more information about the Human Growth Foundation, please visit HGFound.org. Copyright (C) 2024 Human Growth Foundation. All rights reserved.",,"Dec 10, 2024 9:51am",,,False
MEN-1 and small hepatic lesion,https://groups.io/g/peds-endo/topic/men_1_and_small_hepatic/109906651,"I would like your assistance/help/ thoughts on a case. 16-year-old female with history of MEN-1, s/p parathyroidectomy for hyperparathyroidism in 2023. I just saw her a couple of weeks ago, so I sent in for labs and imaging. PTH, calcium, growth factors, BMP, prolactin, all normal. Gastrin level slightly elevated at 75 (< 65). MRI of the abdomen shows a “0.8 cm lesion in the posterior right hepatic segment, which is too small to accurately characterize. The gallbladder, spleen, pancreas, adrenal glands, and kidneys are normal. Bowels and stomach normal.” They recommend ultrasound of the liver in six months to assess for stability. I don’t like the combination of that small lesion and the slightly elevated gastrin level. What are your recommendations for the next step? I appreciate any thoughts and guidance. THANK YOU! J -Zoe Zoe González-García, MD Pediatric Endocrinology and Diabetes Clinical Assistant Professor she/her/hers ___________________________________ E: zgarcia@... P: 402-955-6069 F: 402-955-8738",,"Dec 3, 2024 4:22pm","Dec 9, 2024 5:55pm",12.0,True
Adrenal recovery after treatment with mitotane?,https://groups.io/g/peds-endo/topic/adrenal_recovery_after/110013198,,"Levenson, Amy Elizabeth
	

								
							
							@","Dec 9, 2024 4:55pm","Dec 9, 2024 5:09pm",2.0,True
Primary autoimmune adrenocortical insufficy expertise needed,https://groups.io/g/peds-endo/topic/primary_autoimmune/109960417,"Hi, I'm seeking a second opinion on a patient with PAI that has been really challenging in terms of symptom management. This may be a phone call or maybe even having my patient seen at another center if insurance coverage can be obtained. Any recommendations regarding someone who has a special interest in this area? Thanks for your help, Sarah Tsai Children's Mercy Kansas City Yahoo Mail: Search, Organize, Conquer","Sarah Tsai
	

								
							
							@","Dec 6, 2024 1:16pm","Dec 6, 2024 9:17pm",3.0,False
